STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
247,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Có triệu chứng cơ năng,Đau đầu buổi sáng,Symptom,C0581880,,Đau đầu buổi sáng phát triển trong các chứng bệnh nặng hơn,01_copd.txt
248,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Làm tăng nguy cơ mắc,Hen suyễn,Disease,C0004096,,"Trước khi liệu pháp được tăng cường, việc tuân thủ, tiếp xúc với các yếu tố môi trường (ví dụ: tiếp xúc với chất kích thích) và sự hiện diện của các bệnh kèm theo (ví dụ: béo phì, viêm mũi dị ứng, bệnh trào ngược dạ dày thực quản, bệnh phổi tắc nghẽn mạn tính, ngưng thở khi ngủ do tắc nghẽn, rối loạn chức năng dây thanh âm, sử dụng cocaine dạng hít).",henphequan.txt
249,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Biến chứng,Complication,C0009566,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
250,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Biến chứng COPD,Complication,Chưa có,,Các yếu tố khác nhau gây ra giới hạn luồng không khí và các biến chứng khác của COPD.,01_copd.txt
251,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Bệnh tim,Disease,C0018799,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
252,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Loãng xương,Complication,C0029456,,Các rối loạn cùng tồn tại hoặc phức tạp khác ảnh hưởng xấu đến chất lượng cuộc sống và/hoặc thời gian sống thêm bao gồm loãng xương,01_copd.txt
253,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
254,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp,Complication,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
255,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy hô hấp cấp tính,Disease,C0264490,,Tử vong thường do suy hô hấp cấp,01_copd.txt
256,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Suy tim phải,Complication,C0235527,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi, các đợt cấp mất bù thường xuyên, suy tim phải và/hoặc suy hô hấp cấp hoặc mạn tính.",01_copd.txt
257,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Thiếu oxy máu,Complication,C0700292,,Công việc thở nhiều hơn có thể dẫn đến giảm thông khí phế nang với tình trạng thiếu oxy,01_copd.txt
258,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Thuyên tắc mạch phổi,Disease,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
259,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi,Disease,C0032326,,"Các trường hợp nặng có thể có biến chứng do giảm cân, tràn khí màng phổi",01_copd.txt
260,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tràn khí màng phổi tự phát,Complication,C0149781,,Có thể xảy ra tràn khí màng phổi tự phát (có thể liên quan đến vỡ kén khí) và nên nghi ngờ ở bất cứ bệnh nhân nào bị COPD có tình trạng phổi đột ngột nặng lên.,01_copd.txt
261,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tâm phế mạn,Complication,C0238074,,"Các dấu hiệu của bệnh tâm phế bao gồm giãn tĩnh mạch cổ, tiếng tim thứ hai tách đôi với phần tiếng van động mạch phổi nổi bật, tiếng thổi do suy van ba lá và phù ngoại biên.",01_copd.txt
262,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Tắc mạch phổi,Complication,C0034065,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
263,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Ung thư phổi,Disease,C0684249,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
264,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Dẫn đến biến chứng,Viêm phổi,Complication,C0032285,,"Tử vong thường do suy hô hấp cấp, viêm phổi, ung thư phổi, bệnh tim, hoặc tắc mạch phổi.",01_copd.txt
265,Giới nữ,RiskFactor,C0086287,,Làm tăng nguy cơ mắc,Hen suyễn,Disease,C0004096,,"Giới nữ, hút thuốc, tuổi dậy thì sớm, nhạy cảm với bọ ve trong nhà là những yếu tố nguy cơ cho hen kéo dài và tái phát.",henphequan.txt
266,Glucose,Mechanism,C0017725,,Điều trị,Đái tháo đường,Disease,C0011849,,Có thể bắt đầu truyền tĩnh mạch dung dịch dextrose trước khi phẫu thuật với tốc độ 75 đến 150 mL/giờ và được chuẩn độ để duy trì đường huyết bình thường.,01_daithaoduong.txt
267,Glucose huyết tương duy trì mục tiêu nội trú: 100 - 200 mg/dL (5.5 - 11.1 mmol/L),Measurement,Chưa có,Thông số: Glucose huyết tương duy trì mục tiêu nội trú; min: 100; max: 200; range_mg_dL: 100-200; range_mmol_L: 5.5-11.1; min_value: 100; max_value: 200,Xác định ngưỡng chẩn đoán cho,Đái tháo đường,Disease,C0011849,,"duy trì glucose huyết tương giữa 100 và 200 mg/dL (5,5 và 11,1 mmol/L) cho tới khi bệnh nhân có thể chuyển ăn đường miệng",01_daithaoduong.txt
268,Glucose huyết tương lúc đói,Test,C0583513,,Dùng để chẩn đoán,Tăng huyết áp,Disease,C0020538,,glucose huyết tương lúc đói,01_tanghuyetap.txt
269,Glucose huyết tương lúc đói,Test,C0583513,,Dùng để chẩn đoán,Đái tháo đường,Disease,C0011849,,sàng lọc bệnh tiểu đường với mức FPG,01_daithaoduong.txt
270,Glucose huyết tương ngẫu nhiên chẩn đoán ĐTĐ: >= 200 mg/dL (11.1 mmol/L),Measurement,Chưa có,Thông số: Glucose huyết tương ngẫu nhiên chẩn đoán ĐTĐ; value_mg_dl: 200; value_mmol_l: 11.1,Xác định ngưỡng chẩn đoán cho,Đái tháo đường,Disease,C0011849,,"Glucose ngẫu nhiên > 200 mg/dL (> 11,1 mmol/L) có thể chẩn đoán",01_daithaoduong.txt
271,Gluten và ngũ cốc,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,Tiếp xúc sớm (< 4 tháng) hoặc muộn (> 7 tháng) với gluten và ngũ cốc tăng sản xuất tự kháng thể đảo tụy.,01_daithaoduong.txt
272,Góc xương ức - màng phổi > 90°,Measurement,Chưa có,Thông số: Góc xương ức - màng phổi; Giá trị: >> 90 độ,Xác định ngưỡng chẩn đoán cho,Khí phế thũng,DiseaseSubtype,C0034067,,tăng góc được hình thành bởi xương ức và màng phổi phía trước trên phim chụp nghiêng từ giá trị bình thường là 45° đến > 90°,01_copd.txt
273,"HLA-DR3,DQB1*0201",Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Gen nhay cảm gồm gen trong phức hợp hòa hợp mô chính (MHC) - đặc biệt HLA-DR3,DQB1*0201 và HLA-DR4,DQB1*0302, chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1",01_daithaoduong.txt
274,"HLA-DR4,DQB1*0302",Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,"Gen nhay cảm gồm gen trong phức hợp hòa hợp mô chính (MHC) - đặc biệt HLA-DR3,DQB1*0201 và HLA-DR4,DQB1*0302, chúng xuất hiện trong > 90% bệnh nhân đái tháo đường loại 1",01_daithaoduong.txt
275,Haemophilus influenzae,Cause,C0018483,,Là nguyên nhân gây ra,Nhiễm trùng đường hô hấp,Disease,C0035243,,"Vi khuẩn, đặc biệt là Haemophilus influenzae, xâm chiếm đường hô hấp dưới của khoảng 30% số bệnh nhân mắc COPD.",01_copd.txt
276,Haemophilus influenzae,Cause,C0018483,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Vi khuẩn, đặc biệt là Haemophilus influenzae, xâm chiếm đường hô hấp dưới của khoảng 30% số bệnh nhân mắc COPD.",01_copd.txt
277,Haemophilus influenzae,Cause,C0018483,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Vi khuẩn, đặc biệt là Haemophilus influenzae, xâm chiếm đường hô hấp dưới của khoảng 30% số bệnh nhân mắc COPD.",01_copd.txt
278,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Dùng để chẩn đoán,Đái tháo đường,Disease,C0011849,,"Những người >= 35 tuổi và tất cả người lớn có các yếu tố nguy cơ bổ sung được mô tả ở trên nên được sàng lọc bệnh tiểu đường với mức FPG, HbA1C hoặc giá trị 2 giờ khi OGTT 75 g ít nhất 3 năm một lần miễn là glucose huyết tương các chỉ số đo là bình thường và ít nhất là hàng năm nếu kết quả cho thấy nồng độ đường huyết lúc đói bị suy giảm .",01_daithaoduong.txt
279,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Dùng để chẩn đoán,Đái tháo đường loại 1,DiseaseSubtype,C0011854,,HbA1C nên được đánh giá hàng quí với bệnh nhân đái tháo đường loại 1,01_daithaoduong.txt
280,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Dùng để chẩn đoán,Đái tháo đường loại 2,DiseaseSubtype,C0011860,,HbA1C nên được đánh giá hàng quí với bệnh nhân đái tháo đường loại 1 và ít nhất 2 lần mỗi năm ở bệnh nhân đái tháo đường loại 2,01_daithaoduong.txt
281,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Đo lường chỉ số,Chỉ số nồng độ đường trong máu (Glucose máu),Measurement,Chưa có,Thông số: Chỉ số Chỉ số nồng độ đường trong máu (Glucose máu),"Tuy nhiên, HbA1C là một biện pháp gián tiếp của lượng đường trong máu",01_daithaoduong.txt
282,HbA1c,Measurement,Chưa có,Thông số: Chỉ số HbA1c,Đo lường chỉ số,Tần suất theo dõi HbA1c định kỳ: 3 tháng một lần,Measurement,Chưa có,Thông số: Tần suất theo dõi HbA1c; frequency: 6,Nồng độ HbA1C đo được trong huyết tương tĩnh mạch được theo dõi 3 tháng một lần,01_daithaoduong.txt
283,HbA1c mục tiêu kiểm soát chặt chẽ: < 6.5%,Measurement,Chưa có,Thông số: HbA1c mục tiêu; Giá trị: <6.5 %,Xác định ngưỡng chẩn đoán cho,Hạ đường huyết,DiseaseSubtype,C0020615,,"Các bác sĩ lâm sàng cũng có thể đề nghị các mục tiêu đường huyết chặt chẽ hơn (ví dụ: HbA1C < 6,5%) ở một số bệnh nhân được chọn nếu những mục tiêu này có thể đạt được mà không bị hạ đường huyết.",01_daithaoduong.txt
284,Hen không kiểm soát được,DiseaseSubtype,C5880014,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,Nghi ngờ tăng carbon dioxide và suy hô hấp ở phụ nữ có thai bị hen không kiểm soát được,henphequan.txt
285,Hen không kiểm soát được,DiseaseSubtype,C5880014,,Dẫn đến biến chứng,Tăng carbon dioxide,Disease,C0020440,,Nghi ngờ tăng carbon dioxide và suy hô hấp ở phụ nữ có thai bị hen không kiểm soát được,henphequan.txt
286,Hen không kiểm soát được,DiseaseSubtype,C5880014,,Dẫn đến biến chứng,Tăng carbonic máu,Mechanism,C0020440,,Nghi ngờ tăng carbon dioxide và suy hô hấp ở phụ nữ có thai bị hen không kiểm soát được,henphequan.txt
287,Hen suyễn,Disease,C0004096,,Gây tổn thương cơ quan,Đường thở,Organ,C0458827,,hình thành quá trình viêm thâm nhiễm lan rộng vào biểu mô và cơ trơn đường thở,henphequan.txt
288,Hen suyễn,Disease,C0004096,,Có triệu chứng cơ năng,Ho,Symptom,C0010200,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
289,Hen suyễn,Disease,C0004096,,Có triệu chứng cơ năng,Khó thở,Symptom,C0013404,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
290,Hen suyễn,Disease,C0004096,,Có triệu chứng cơ năng,Triệu chứng hen,Symptom,C1276804,,khi bệnh nhân đáp ứng tốt điều trị thì sẽ có ít triệu chứng.,henphequan.txt
291,Hen suyễn,Disease,C0004096,,Có triệu chứng cơ năng,Tức ngực,Symptom,C0008031,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
292,Hen suyễn,Disease,C0004096,,Có triệu chứng cơ năng,Đau ngực,Sign,C0008031,,"Triệu chứng và dấu hiệu bao gồm khó thở, tức ngực, ho, thở khò khè.",henphequan.txt
293,Hen suyễn,Disease,C0004096,,Làm tăng nguy cơ mắc,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"bệnh nhân bị suy giảm chức năng phổi ở tuổi trưởng thành sớm, thường liên quan đến bệnh hen suyễn",01_copd.txt
294,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Cân nặng khi sinh thấp,Complication,C0024032,,"bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh, sinh non và cân nặng khi sinh thấp.",henphequan.txt
295,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Sinh non,Complication,C0151526,,"bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh, sinh non",henphequan.txt
296,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Suy hô hấp,Complication,C1145670,,Bệnh nhân có đợt kịch phát nặng và sắp xảy ra suy hô hấp,henphequan.txt
297,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Tái cấu trúc đường thở,Complication,C2717792,,"Theo thời gian, đường thở ở một số bệnh nhân bị hen suyễn trải qua sự thay đổi cấu trúc vĩnh viễn (tái cấu trúc)",henphequan.txt
298,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Tử vong,Complication,C1306577,,Mặc dù một số đáng kể ca tử vong hàng năm là do bệnh hen,henphequan.txt
299,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Tử vong trước sinh,Complication,C0277604,,bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh,henphequan.txt
300,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,cân nặng sơ sinh thấp,RiskFactor,C0024032,,"bà mẹ kiểm soát hen kém có thể làm tăng tỷ lệ tử vong trước sinh, sinh non và cân nặng khi sinh thấp.",henphequan.txt
301,Hen suyễn,Disease,C0004096,,Dẫn đến biến chứng,Đợt cấp hen suyễn nặng,Complication,C3872851,,"Ví dụ, bệnh nhân bị hen suyễn nhẹ không có triệu chứng hoặc triệu chứng nhẹ và chức năng phổi bình thường vẫn có thể bị đợt cấp nặng đe dọa đến tính mạng.",henphequan.txt
302,Hen suyễn ban đêm,DiseaseSubtype,C1273489,,Là phân loại / thể bệnh của,Hen suyễn,Disease,C0004096,,Nhiều bệnh nhân bị bệnh nặng hơn sẽ bị thức giấc vào ban đêm (hen suyễn ban đêm).,henphequan.txt
303,Hen suyễn nhẹ,DiseaseSubtype,C0581124,,Là phân loại / thể bệnh của,Hen suyễn,Disease,C0004096,,"Ví dụ, bệnh nhân bị hen suyễn nhẹ không có triệu chứng hoặc triệu chứng nhẹ và chức năng phổi bình thường vẫn có thể bị đợt cấp nặng đe dọa đến tính mạng.",henphequan.txt
304,Hen suyễn thể ho,DiseaseSubtype,C0694548,,Là phân loại / thể bệnh của,Hen suyễn,Disease,C0004096,,Ho có thể là triệu chứng duy nhất ở một số bệnh nhân (hen suyễn thể ho).,henphequan.txt
305,Hen suyễn tăng bạch cầu ái toan,DiseaseSubtype,C0340076,,Là phân loại / thể bệnh của,Hen suyễn,Disease,C0004096,,Hen suyễn với dạng viêm này thường được gọi làh hen suyễn tăng bạch cầu ái toan.,henphequan.txt
306,Hoạt động thể chất,Treatment,C0026606,,Điều trị,Hen suyễn,Disease,C0004096,,"Trẻ em> 5 tuổi và thanh thiếu niên bị hen suyễn nên được khuyến khích duy trì các hoạt động thể chất, tập thể dục và tham gia các môn thể thao.",henphequan.txt
307,Hoạt động thể chất và thể thao,Treatment,C1319354,,Điều trị,Hen suyễn,Disease,C0004096,,"Trẻ em> 5 tuổi và thanh thiếu niên bị hen suyễn nên được khuyến khích duy trì các hoạt động thể chất, tập thể dục và tham gia các môn thể thao.",henphequan.txt
308,Huyết áp chẩn đoán Tăng huyết áp cấp cứu: tâm thu > 180 mmHg hoặc tâm trương >= 120 mmHg,Measurement,Chưa có,Thông số: Huyết áp chẩn đoán Tăng huyết áp cấp cứu; Huyết áp 180/120 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Tăng huyết áp cấp cứu là huyết áp tăng cao đáng kể (ví dụ: huyết áp tâm thu > 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
309,Huyết áp chẩn đoán Tăng huyết áp cấp cứu: tâm thu > 180 mmHg hoặc tâm trương >= 120 mmHg,Measurement,Chưa có,Thông số: Huyết áp chẩn đoán Tăng huyết áp cấp cứu; Huyết áp 180/120 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,Tăng huyết áp cấp cứu là huyết áp tăng cao đáng kể (ví dụ: huyết áp tâm thu > 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
310,Huyết áp không đạt mục tiêu,Measurement,Chưa có,Thông số: Huyết áp; status: không kiểm soát,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,Tăng huyết áp kháng trị được định nghĩa là huyết áp không được kiểm soát đạt mục tiêu mặc dù đã tuân thủ 3 loại thuốc hạ huyết áp liều phù hợp thuộc các nhóm khác nhau (bao gồm thuốc lợi tiểu) và sau khi hiệu ứng áo choàng trắng đã được loại trừ.,01_tanghuyetap.txt
311,Huyết áp mục tiêu < 130/80 mmHg,Measurement,Chưa có,Thông số: Huyết áp mục tiêu; Huyết áp 130/80 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,"Giảm huyết áp xuống thành < 130/80 mm Hg, bao gồm cả những người mắc bệnh thận hoặc tiểu đường.",01_tanghuyetap.txt
312,Huyết áp tâm thu > 180 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu; Giá trị: >180 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp nặng,DiseaseSubtype,C5395247,,Tăng huyết áp nặng (ví dụ: huyết áp tâm thu > 180 mm Hg),02_thuocdieutri.txt
313,Huyết áp tâm thu >= 130 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu; Giá trị: >=130 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,Tăng huyết áp được định nghĩa là huyết áp tâm thu (HA) >= 130 mm Hg hoặc huyết áp tâm trương >= 80 mm Hg hoặc đang dùng thuốc điều trị tăng huyết áp.,01_tanghuyetap.txt
314,Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu và tâm trương; Huyết áp 180/120 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp cấp cứu,DiseaseSubtype,C0745136,,Tăng huyết áp cấp cứu là tăng huyết áp nặng (thường được xác định là huyết áp tâm thu (HA) >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
315,Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu và tâm trương; Huyết áp 180/120 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp nặng: Huyết áp tâm thu >= 180 mmHg hoặc huyết áp tâm trương >= 120 mmHg,Measurement,C0745136,Thông số: Tăng huyết áp nặng; Huyết áp 180/120 mmHg,Tăng huyết áp cấp cứu là tăng huyết áp nặng (thường được xác định là huyết áp tâm thu (HA) >= 180 mm Hg và/hoặc huyết áp tâm trương >= 120 mm Hg),02_thuocdieutri.txt
316,Huyết áp tâm thu ban đầu > 160 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu; Giá trị: >160 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp kháng trị,DiseaseSubtype,C1834155,,"Nếu huyết áp tâm thu ban đầu > 160 mm Hg, nên bắt đầu dùng 2 loại thuốc bất kể nguy cơ mắc bệnh tim mạch.",01_tanghuyetap.txt
317,Huyết áp tâm thu lúc nghỉ >= 130 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu lúc nghỉ; Giá trị: >=130 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,"Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm thu lúc nghỉ (>= 130 mmHg) hoặc huyết áp tâm trương lúc nghỉ (>= 80 mm Hg), hoặc cả hai.",01_tanghuyetap.txt
318,Huyết áp tâm thu lúc nghỉ xác định THA: >= 130 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm thu lúc nghỉ; Huyết áp <130/<80 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,"Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm thu lúc nghỉ (>= 130 mmHg) hoặc huyết áp tâm trương lúc nghỉ (>= 80 mm Hg), hoặc cả hai.",01_tanghuyetap.txt
319,Huyết áp tâm trương >= 80 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm trương; Giá trị: >=80 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,Tăng huyết áp được định nghĩa là huyết áp tâm thu (HA) >= 130 mm Hg hoặc huyết áp tâm trương >= 80 mm Hg hoặc đang dùng thuốc điều trị tăng huyết áp.,01_tanghuyetap.txt
320,Huyết áp tâm trương lúc nghỉ >= 80 mmHg,Measurement,Chưa có,Thông số: Huyết áp tâm trương lúc nghỉ; Giá trị: >=80 mmHg,Xác định ngưỡng chẩn đoán cho,Tăng huyết áp,Disease,C0020538,,"Tăng huyết áp là tình trạng tăng liên tục của huyết áp tâm thu lúc nghỉ (>= 130 mmHg) hoặc huyết áp tâm trương lúc nghỉ (>= 80 mm Hg), hoặc cả hai.",01_tanghuyetap.txt
321,Huyết áp động mạch trung bình (MAP) ngưỡng giãn mạch não: 160 mmHg,Measurement,Chưa có,Thông số: Huyết áp động mạch trung bình (MAP); Giá trị: >160 mmHg,Xác định ngưỡng chẩn đoán cho,Bệnh não do tăng huyết áp,Disease,C0151620,,"Trên huyết áp động mạch trung bình (MAP) khoảng 160 mm Hg (thấp hơn đối với những người có huyết áp bình thường có huyết áp tăng đột ngột), các mạch não bắt đầu giãn ra thay vì vẫn bị co thắt.",02_thuocdieutri.txt
322,Huyết áp động mạch trung bình (MAP) ngưỡng giãn mạch não: 160 mmHg,Measurement,Chưa có,Thông số: Huyết áp động mạch trung bình (MAP); Giá trị: >160 mmHg,Xác định ngưỡng chẩn đoán cho,Bệnh não tăng huyết áp,Complication,C0151620,,"Trên huyết áp động mạch trung bình (MAP) khoảng 160 mm Hg (thấp hơn đối với những người có huyết áp bình thường có huyết áp tăng đột ngột), các mạch não bắt đầu giãn ra thay vì vẫn bị co thắt.",02_thuocdieutri.txt
323,Hydrogel uống,Treatment,C4288711,,Điều trị,Tiền đái tháo đường,Disease,C0362046,,Một loại hydrogel uống có chứa cellulose và axit xitric khiến bệnh nhân cảm thấy no và ăn ít hơn có thể giúp giảm cân ở mức độ khiêm tốn ở những bệnh nhân tiền tiểu đường và tiểu đường.,01_daithaoduong.txt
324,Hydrogel uống,Treatment,C4288711,,Điều trị,Đái tháo đường,Disease,C0011849,,Một loại hydrogel uống có chứa cellulose và axit xitric khiến bệnh nhân cảm thấy no và ăn ít hơn có thể giúp giảm cân ở mức độ khiêm tốn ở những bệnh nhân tiền tiểu đường và tiểu đường.,01_daithaoduong.txt
325,Hóa chất hít vào,RiskFactor,C3841930,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
326,Hóa chất hít vào,RiskFactor,C3841930,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
327,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Bệnh phổi tắc nghẽn mạn tính (COPD) đặc trưng bởi sự giới hạn về luồng khí thở gây ra do đáp ứng viêm do hít phải các chất khí độc hại, thường là khói thuốc lá.",01_copd.txt
328,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Chồng chéo Hen suyễn-COPD,Disease,C4038730,,"Các đặc điểm chính bao gồm tắc nghẽn đường thở cố định không đáp ứng với thuốc giãn phế quản, tiếp xúc đáng kể với hút thuốc lá hoặc chất ô nhiễm và các đặc điểm của hen suyễn truyền thống, bao gồm tăng bạch cầu ái toan trong máu hoặc trong đờm và tắc nghẽn dòng khí có thể đảo ngược.",henphequan.txt
329,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Bệnh phổi tắc nghẽn mạn tính (COPD) đặc trưng bởi sự giới hạn về luồng khí thở gây ra do đáp ứng viêm do hít phải các chất khí độc hại, thường là khói thuốc lá.",01_copd.txt
330,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Hen suyễn,Disease,C0004096,,"Giới nữ, hút thuốc, tuổi dậy thì sớm, nhạy cảm với bọ ve trong nhà là những yếu tố nguy cơ cho hen kéo dài và tái phát.",henphequan.txt
