STT,Thực thể nguồn (Source),Loại nguồn (Type),Mã CUI nguồn,Chỉ số nguồn (Attributes),Quan hệ lâm sàng (Relation),Thực thể đích (Target),Loại đích (Type),Mã CUI đích,Chỉ số đích (Attributes),Bằng chứng văn bản gốc (Evidence Span),Tài liệu nguồn
93,Hen suyễn,Disease,C0004096,,Làm tăng nguy cơ mắc,Suy giảm chức năng phổi,DiseaseSubtype,Chưa có,,"bệnh nhân bị suy giảm chức năng phổi ở tuổi trưởng thành sớm, thường liên quan đến bệnh hen suyễn",01_copd.txt
94,Hóa chất hít vào,RiskFactor,C3841930,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
95,Hóa chất hít vào,RiskFactor,C3841930,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
96,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Bệnh phổi tắc nghẽn mạn tính (COPD) đặc trưng bởi sự giới hạn về luồng khí thở gây ra do đáp ứng viêm do hít phải các chất khí độc hại, thường là khói thuốc lá.",01_copd.txt
97,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Bệnh phổi tắc nghẽn mạn tính (COPD) đặc trưng bởi sự giới hạn về luồng khí thở gây ra do đáp ứng viêm do hít phải các chất khí độc hại, thường là khói thuốc lá.",01_copd.txt
98,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Khí thũng,Disease,C0013990,,"Rối loạn di truyền nguyên nhân được xác định rõ ràng nhất là thiếu hụt alpha-1 antitrypsin, đây là nguyên nhân quan trọng gây khí thũng ở những người không hút thuốc và làm tăng rõ rệt khả năng mắc bệnh ở những người hút thuốc.",01_copd.txt
99,Hút thuốc lá,RiskFactor,C0453996,,Làm tăng nguy cơ mắc,Viêm phế quản mạn tính do hen,DiseaseSubtype,C0264348,,nó xảy ra chủ yếu ở những bệnh nhân hút thuốc và có tiền sử hen suyễn.,01_copd.txt
100,Hẹp đường dẫn khí,Mechanism,C0001883,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Đặc điểm sinh bệnh học chủ yếu của COPD là hạn chế luồng không khí do hẹp đường dẫn khí,01_copd.txt
101,Hẹp đường dẫn khí,Mechanism,C0001883,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Đặc điểm sinh bệnh học chủ yếu của COPD là hạn chế luồng không khí do hẹp đường dẫn khí,01_copd.txt
102,Hội chứng Sjögren,Disease,C1527336,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
103,Hội chứng Sjögren,Disease,C1527336,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
104,Khám thực thể,Test,C0031809,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Chẩn đoán được gợi ý dựa trên bệnh sử, khám thực thể, kết quả chẩn đoán hình ảnh ngực và được xác nhận bằng các xét kiểm tra chức năng phổi.",01_copd.txt
105,Khám thực thể,Test,C0031809,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Chẩn đoán được gợi ý dựa trên bệnh sử, khám thực thể, kết quả chẩn đoán hình ảnh ngực và được xác nhận bằng các xét kiểm tra chức năng phổi.",01_copd.txt
106,Khí máu tĩnh mạch,Test,C5165470,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Khí máu tĩnh mạch rất hữu ích để chẩn đoán tăng CO2 máu cấp tính hoặc mạn tính.,01_copd.txt
107,Khí máu tĩnh mạch,Test,C5165470,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Khí máu tĩnh mạch rất hữu ích để chẩn đoán tăng CO2 máu cấp tính hoặc mạn tính.,01_copd.txt
108,Khí phế thũng,DiseaseSubtype,C0034067,,Là phân loại / thể bệnh của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Bệnh phổi tắc nghẽn mạn tính (COPD) đặc trưng bởi sự giới hạn về luồng khí thở gây ra do đáp ứng viêm do hít phải các chất khí độc hại, thường là khói thuốc lá.",01_copd.txt
109,Khí phế thũng,DiseaseSubtype,C0034067,,Là phân loại / thể bệnh của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Bệnh phổi tắc nghẽn mạn tính (COPD) đặc trưng bởi sự giới hạn về luồng khí thở gây ra do đáp ứng viêm do hít phải các chất khí độc hại, thường là khói thuốc lá.",01_copd.txt
110,Khói thuốc lá thụ động,RiskFactor,C0037370,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
111,Khói thuốc lá thụ động,RiskFactor,C0037370,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tiếp xúc với khói thuốc lá thụ động, ô nhiễm không khí và bụi nghề nghiệp (ví dụ: bụi khoáng, bụi bông) hoặc hóa chất hít vào (ví dụ: cadmium) góp phần gây nguy cơ mắc COPD nhưng ít quan trọng hơn so với hút thuốc lá.",01_copd.txt
112,Khói từ nấu ăn và sưởi ấm trong nhà,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Khói từ nấu ăn và sưởi ấm trong nhà là một yếu tố gây bệnh quan trọng,01_copd.txt
113,Khói từ nấu ăn và sưởi ấm trong nhà,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Khói từ nấu ăn và sưởi ấm trong nhà là một yếu tố gây bệnh quan trọng,01_copd.txt
114,Kiểm tra chức năng hô hấp,Test,C0024119,,Dùng để chẩn đoán,Bệnh phổi kẽ,Disease,C0206062,,xét nghiệm chức năng phổi cho thấy khiếm khuyết thông khí hạn chế hơn là khiếm khuyết thông khí tắc nghẽn,01_copd.txt
115,Kiểm tra chức năng hô hấp,Test,C0024119,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Chẩn đoán dựa trên bệnh sử, khám thực thể, chụp X-quang ngực và kiểm tra chức năng phổi.",01_copd.txt
116,Kiểm tra chức năng hô hấp,Test,C0024119,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Chẩn đoán dựa trên bệnh sử, khám thực thể, chụp X-quang ngực và kiểm tra chức năng phổi.",01_copd.txt
117,Kiểm tra chức năng hô hấp,Test,C0024119,,Dùng để chẩn đoán,Viêm phế quản mạn tính tắc nghẽn,DiseaseSubtype,C0155874,,Viêm phế quản mạn tính trở thành viêm phế quản tắc nghẽn mạn tính nếu có dấu hiệu tắc nghẽn luồng khí khi đo chức năng hô hấp.,01_copd.txt
118,Liệu pháp oxy,Treatment,C3665674,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Liệu pháp oxy được chỉ định cho một số bệnh nhân.,01_copd.txt
119,Liệu pháp oxy,Treatment,C3665674,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Liệu pháp oxy được chỉ định cho một số bệnh nhân.,01_copd.txt
120,Lạm dụng thuốc bất hợp pháp,RiskFactor,C0281875,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
121,Lạm dụng thuốc bất hợp pháp,RiskFactor,C0281875,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV, lạm dụng các loại thuốc bất hợp pháp (đặc biệt là cocaine và amphetamine), bệnh sarcoid, hội chứng Sjögren, viêm tiểu phế quản tắc nghẽn, bệnh u cơ trơn mạch bạch huyết và u hạt do tăng bạch cầu ái toan.",01_copd.txt
122,Nhiễm HIV,Disease,C0019693,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV,01_copd.txt
123,Nhiễm HIV,Disease,C0019693,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Các bệnh lý hệ thống có thể có một phần hạn chế luồng khí gợi ý COPD; các bệnh lý này bao gồm nhiễm HIV,01_copd.txt
124,Nhiễm trùng đường hô hấp,Disease,C0035243,,Dẫn đến biến chứng,Phá hủy phổi,Complication,C3472385,,Nhiễm trùng đường hô hấp (bệnh mà bệnh nhân COPD dễ mắc phải) có thể làm tăng tiến triển tình trạng phá hủy phổi.,01_copd.txt
125,Nồng độ alpha-1 antitrypsin,Test,C0201856,,Dùng để chẩn đoán,Thiếu alpha-1 antitrypsin,Cause,C0221757,,Nên đo nồng độ alpha-1 antitrypsin ở bệnh nhân < 50 tuổi bị COPD có triệu chứng và ở bệnh nhân thuộc mọi lứa tuổi bị COPD không hút thuốc để phát hiện tình trạng thiếu hụt alpha-1 antitrypsin.,01_copd.txt
126,Nồng độ alpha-1 antitrypsin,Test,C0201856,,Dùng để chẩn đoán,Thiếu hụt alpha-1 antitrypsin,DiseaseSubtype,C0221757,,Nên đo nồng độ alpha-1 antitrypsin ở bệnh nhân < 50 tuổi bị COPD có triệu chứng và ở bệnh nhân thuộc mọi lứa tuổi bị COPD không hút thuốc để phát hiện tình trạng thiếu hụt alpha-1 antitrypsin.,01_copd.txt
127,Phá hủy giường mao mạch phổi,Mechanism,Chưa có,,Là cơ chế sinh bệnh học của,Tăng áp động mạch phổi,DiseaseSubtype,C2973725,,Tăng áp lực mạch máu phổi có thể tăng lên do sự phá huỷ của giường mao mạch phổi,01_copd.txt
128,Phì đại thất phải,DiseaseSubtype,C0162770,,Là phân loại / thể bệnh của,Bệnh tâm phế,Disease,C0034072,,Phì đại thất phải xảy ra trong bệnh tâm phế,01_copd.txt
129,Phản ứng đường thở từ trước,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Những người hút thuốc và có phản ứng đường thở từ trước (được xác định bằng mức độ nhạy cảm tăng lên với methacholine dạng hít), ngay cả khi không có hen suyễn trên lâm sàng, có nguy cơ mắc bệnh COPD cao hơn những người không mắc bệnh.",01_copd.txt
130,Phản ứng đường thở từ trước,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Những người hút thuốc và có phản ứng đường thở từ trước (được xác định bằng mức độ nhạy cảm tăng lên với methacholine dạng hít), ngay cả khi không có hen suyễn trên lâm sàng, có nguy cơ mắc bệnh COPD cao hơn những người không mắc bệnh.",01_copd.txt
131,Phục hồi chức năng hô hấp,Treatment,C0199529,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Phục hồi chức năng hô hấp bao gồm đào tạo tập thể dục có cấu trúc và giám sát, tư vấn dinh dưỡng, và giáo dục tự quản lý.",01_copd.txt
132,Phục hồi chức năng hô hấp,Treatment,C0199529,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Phục hồi chức năng hô hấp bao gồm đào tạo tập thể dục có cấu trúc và giám sát, tư vấn dinh dưỡng, và giáo dục tự quản lý.",01_copd.txt
133,Protease,Mechanism,C5200997,,Gây tổn thương cơ quan,Phổi,Organ,C0024109,,"Các protease tại phổi, như elastase của bạch cầu trung tính, metalloproteinase của gian bào, và cathepsin, làm giảm elastin và mô liên kết trong quá trình sửa chữa mô thông thường.",01_copd.txt
134,Protease,Mechanism,C5200997,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
135,Protease,Mechanism,C5200997,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Ở những bệnh nhân COPD, bạch cầu trung tính được hoạt hóa và các tế bào viêm khác giải phóng proteases như một phần của quá trình viêm; hoạt tính protease vượt quá hoạt tính antiprotease, hậu quả là sự phá hủy mô liên kết và tăng tiết chất nhầy.",01_copd.txt
136,Rối loạn hô hấp ở trẻ em,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,rối loạn hô hấp ở trẻ em cũng góp phần gây nguy cơ bị COPD.,01_copd.txt
137,Rối loạn hô hấp ở trẻ em,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,rối loạn hô hấp ở trẻ em cũng góp phần gây nguy cơ bị COPD.,01_copd.txt
138,Siêu âm tim,Test,C0013516,,Dùng để chẩn đoán,Bệnh lý van tim,Disease,C0018824,,Siêu âm tim thường được chỉ định khi nghi ngờ có bệnh của tâm thất trái hoặc bệnh lý van tim.,01_copd.txt
139,Siêu âm tim,Test,C0013516,,Dùng để chẩn đoán,Bệnh tâm thất trái,Disease,C5686755,,Siêu âm tim thường được chỉ định khi nghi ngờ có bệnh của tâm thất trái hoặc bệnh lý van tim.,01_copd.txt
140,Siêu âm tim,Test,C0013516,,Dùng để chẩn đoán,Tăng áp động mạch phổi,DiseaseSubtype,C2973725,,Siêu âm tim đôi khi hữu ích để đánh giá chức năng thất phải và tăng áp động mạch phổi,01_copd.txt
141,Siêu âm tại giường (POCUS),Test,C5396784,,Dùng để chẩn đoán,Tràn khí màng phổi,Disease,C0032326,,Siêu âm tại giường (POCUS) có thể là một thủ thuật bổ trợ hữu ích để chẩn đoán nhanh viêm phổi hoặc tràn khí màng phổi.,01_copd.txt
142,Suy giảm chức năng nghiêm trọng,RiskFactor,C4489230,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Bệnh nhân có nguy cơ tử vong cao là những bệnh nhân có giảm cân rõ rệt không rõ nguyên nhân hoặc suy giảm chức năng nghiêm trọng (ví dụ những người gặp khó thở với việc tự chăm sóc, chẳng hạn như mặc quần áo, tắm hoặc ăn uống).",01_copd.txt
143,Suy giảm chức năng nghiêm trọng,RiskFactor,C4489230,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Bệnh nhân có nguy cơ tử vong cao là những bệnh nhân có giảm cân rõ rệt không rõ nguyên nhân hoặc suy giảm chức năng nghiêm trọng (ví dụ những người gặp khó thở với việc tự chăm sóc, chẳng hạn như mặc quần áo, tắm hoặc ăn uống).",01_copd.txt
144,Sử dụng nhiên liệu sinh khối,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"việc sử dụng rộng rãi nhiên liệu sinh khối, chẳng hạn như gỗ, cỏ hoặc các vật liệu hữu cơ khác, cũng góp phần làm tăng tỷ lệ hiện hành của COPD.",01_copd.txt
145,Sử dụng nhiên liệu sinh khối,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"việc sử dụng rộng rãi nhiên liệu sinh khối, chẳng hạn như gỗ, cỏ hoặc các vật liệu hữu cơ khác, cũng góp phần làm tăng tỷ lệ hiện hành của COPD.",01_copd.txt
146,TNF-α,Mechanism,C1456820,,Là cơ chế sinh bệnh học của,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Giảm cân có thể xảy ra, có lẽ là do không đủ lượng calo nạp vào và tăng mức độ lưu hành của yếu tố hoại tử khối u (TNF)-alpha.",01_copd.txt
147,TNF-α,Mechanism,C1456820,,Là cơ chế sinh bệnh học của,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Giảm cân có thể xảy ra, có lẽ là do không đủ lượng calo nạp vào và tăng mức độ lưu hành của yếu tố hoại tử khối u (TNF)-alpha.",01_copd.txt
148,Thiếu alpha-1 antitrypsin,Cause,C0221757,,Là nguyên nhân gây ra,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,COPD dường như có tính gia đình do thiếu alpha-1 antitrypsin (thiếu hụt chất ức chế alpha-1 antiprotease).,01_copd.txt
149,Thiếu alpha-1 antitrypsin,Cause,C0221757,,Là nguyên nhân gây ra,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,COPD dường như có tính gia đình do thiếu alpha-1 antitrypsin (thiếu hụt chất ức chế alpha-1 antiprotease).,01_copd.txt
150,Thiếu alpha-1 antitrypsin,Cause,C0221757,,Là nguyên nhân gây ra,Khí phế thũng,DiseaseSubtype,C0034067,,Sự thay đổi khí phế thũng xuất hiện chủ yếu ở đáy phổi gợi ý thiếu alpha-1 antitrypsin.,01_copd.txt
151,Thiếu hụt alpha-1 antitrypsin,DiseaseSubtype,C0221757,,Là nguyên nhân gây ra,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,COPD dường như có tính gia đình do thiếu alpha-1 antitrypsin (thiếu hụt chất ức chế alpha-1 antiprotease).,01_copd.txt
152,Thiếu hụt alpha-1 antitrypsin,DiseaseSubtype,C0221757,,Là nguyên nhân gây ra,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,COPD dường như có tính gia đình do thiếu alpha-1 antitrypsin (thiếu hụt chất ức chế alpha-1 antiprotease).,01_copd.txt
153,Thiếu hụt alpha-1 antitrypsin,DiseaseSubtype,C0221757,,Là nguyên nhân gây ra,Khí phế thũng,DiseaseSubtype,C0034067,,Sự thay đổi khí phế thũng xuất hiện chủ yếu ở đáy phổi gợi ý thiếu alpha-1 antitrypsin.,01_copd.txt
154,Thuốc chủ vận beta-adrenergic tác dụng kéo dài (LABA),DrugClass,Chưa có,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Điều trị làm giảm các triệu chứng nhanh chóng bằng các thuốc chủ yếu là beta-adrenergic tác dụng ngắn và giảm đợt cấp bằng corticosteroid dạng hít, thuốc beta-adrenergic tác dụng kéo dài, thuốc kháng cholinergic tác dụng kéo dài hoặc một dạng phối hợp .",01_copd.txt
155,Thuốc chủ vận beta-adrenergic tác dụng kéo dài (LABA),DrugClass,Chưa có,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Điều trị làm giảm các triệu chứng nhanh chóng bằng các thuốc chủ yếu là beta-adrenergic tác dụng ngắn và giảm đợt cấp bằng corticosteroid dạng hít, thuốc beta-adrenergic tác dụng kéo dài, thuốc kháng cholinergic tác dụng kéo dài hoặc một dạng phối hợp .",01_copd.txt
156,Thuốc chủ vận beta-adrenergic tác dụng ngắn (SABA),DrugClass,Chưa có,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Điều trị làm giảm các triệu chứng nhanh chóng bằng các thuốc chủ yếu là beta-adrenergic tác dụng ngắn,01_copd.txt
157,Thuốc chủ vận beta-adrenergic tác dụng ngắn (SABA),DrugClass,Chưa có,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Điều trị làm giảm các triệu chứng nhanh chóng bằng các thuốc chủ yếu là beta-adrenergic tác dụng ngắn,01_copd.txt
158,Thuốc giãn phế quản,DrugClass,C0006280,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,trong khi đáp ứng đáng kể với thuốc giãn phế quản dự đoán thời gian sống thêm được cải thiện.,01_copd.txt
159,Thuốc giãn phế quản,DrugClass,C0006280,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,trong khi đáp ứng đáng kể với thuốc giãn phế quản dự đoán thời gian sống thêm được cải thiện.,01_copd.txt
160,Thuốc kháng cholinergic tác dụng kéo dài (LAMA),DrugClass,Chưa có,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Điều trị làm giảm các triệu chứng nhanh chóng bằng các thuốc chủ yếu là beta-adrenergic tác dụng ngắn và giảm đợt cấp bằng corticosteroid dạng hít, thuốc beta-adrenergic tác dụng kéo dài, thuốc kháng cholinergic tác dụng kéo dài hoặc một dạng phối hợp .",01_copd.txt
161,Thuốc kháng cholinergic tác dụng kéo dài (LAMA),DrugClass,Chưa có,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Điều trị làm giảm các triệu chứng nhanh chóng bằng các thuốc chủ yếu là beta-adrenergic tác dụng ngắn và giảm đợt cấp bằng corticosteroid dạng hít, thuốc beta-adrenergic tác dụng kéo dài, thuốc kháng cholinergic tác dụng kéo dài hoặc một dạng phối hợp .",01_copd.txt
162,Thủ thuật giảm thể tích phổi,Treatment,C0524689,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Các thủ thuật giảm thể tích phổi hoặc cấy ghép được sử dụng trong bệnh tiến triển.,01_copd.txt
163,Thủ thuật giảm thể tích phổi,Treatment,C0524689,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Các thủ thuật giảm thể tích phổi hoặc cấy ghép được sử dụng trong bệnh tiến triển.,01_copd.txt
164,"Tiêm chủng dự phòng (Cúm, Phế cầu, COVID-19, RSV)",Treatment,Chưa có,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tiêm chủng cúm, phế cầu, COVID-19 và vi rút hợp bào hô hấp ([RSV] ở bệnh nhân >= 60 tuổi) cũng nên được thực hiện như một biện pháp phòng ngừa.",01_copd.txt
165,"Tiêm chủng dự phòng (Cúm, Phế cầu, COVID-19, RSV)",Treatment,Chưa có,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tiêm chủng cúm, phế cầu, COVID-19 và vi rút hợp bào hô hấp ([RSV] ở bệnh nhân >= 60 tuổi) cũng nên được thực hiện như một biện pháp phòng ngừa.",01_copd.txt
166,Tiêm chủng phòng ngừa,Treatment,C0042196,,Điều trị,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Tiêm chủng cúm, phế cầu, COVID-19 và vi rút hợp bào hô hấp ([RSV] ở bệnh nhân >= 60 tuổi) cũng nên được thực hiện như một biện pháp phòng ngừa.",01_copd.txt
167,Tiêm chủng phòng ngừa,Treatment,C0042196,,Điều trị,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Tiêm chủng cúm, phế cầu, COVID-19 và vi rút hợp bào hô hấp ([RSV] ở bệnh nhân >= 60 tuổi) cũng nên được thực hiện như một biện pháp phòng ngừa.",01_copd.txt
168,Tiêu chuẩn chẩn đoán viêm phế quản mạn tính: ho có đờm >= 3 tháng/năm trong 2 năm liên tiếp,Measurement,Chưa có,Thông số: Thời gian ho có đờm; min_value: 3; duration: 2 năm liên tiếp,Xác định ngưỡng chẩn đoán cho,Viêm phế quản mạn tính,Disease,C0008677,,Viêm phế quản mạn tính được định nghĩa là ho có đờm trong hầu hết các ngày trong tuần ít nhất là 3 tháng trong 2 năm liên tiếp.,01_copd.txt
169,Tiếp xúc chất kích thích hô hấp,RiskFactor,Chưa có,,Làm tăng nguy cơ mắc,Đợt cấp COPD,DiseaseSubtype,C0340044,,"Nguyên nhân cụ thể của bất kỳ đợt cấp nào không phải lúc nào cũng xác định được, nhưng các đợt cấp thường được cho là do các vi rút gây các bệnh nhiễm trùng đường hô hấp trên, viêm phế quản cấp do vi khuẩn hoặc tiếp xúc với các chất kích thích hô hấp.",01_copd.txt
170,Tiền sử,Test,C0262926,,Dùng để chẩn đoán,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Chẩn đoán được gợi ý dựa trên bệnh sử, khám thực thể, kết quả chẩn đoán hình ảnh ngực và được xác nhận bằng các xét kiểm tra chức năng phổi.",01_copd.txt
171,Tiền sử,Test,C0262926,,Dùng để chẩn đoán,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,"Chẩn đoán được gợi ý dựa trên bệnh sử, khám thực thể, kết quả chẩn đoán hình ảnh ngực và được xác nhận bằng các xét kiểm tra chức năng phổi.",01_copd.txt
172,Trọng lượng cơ thể thấp,RiskFactor,C0041667,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,Trọng lượng cơ thể thấp và rối loạn hô hấp ở trẻ em cũng góp phần gây nguy cơ bị COPD.,01_copd.txt
173,Trọng lượng cơ thể thấp,RiskFactor,C0041667,,Làm tăng nguy cơ mắc,Giới hạn luồng không khí,DiseaseSubtype,C0024117,,Trọng lượng cơ thể thấp và rối loạn hô hấp ở trẻ em cũng góp phần gây nguy cơ bị COPD.,01_copd.txt
174,Trục lệch phải > 110°,Measurement,Chưa có,Thông số: Trục điện tim; Giá trị: >110 độ,Xác định ngưỡng chẩn đoán cho,Phì đại thất phải,DiseaseSubtype,C0162770,,Dấu hiệu phì đại thất phải bao gồm sóng R hoặc R′ cao bằng hoặc cao hơn sóng S ở chuyển đạo V1; sóng R nhỏ hơn sóng S ở chuyển đạo V6; trục lệch phải > 110° không có blốc nhánh phải; hoặc phối hợp nào đó của những dấu hiệu này.,01_copd.txt
175,Tuổi già,RiskFactor,C0001792,,Làm tăng nguy cơ mắc,Bệnh phổi tắc nghẽn mạn tính,Disease,C0024117,,"Ngoài ra, tuổi già và sự hiện diện của bệnh tim, thiếu máu, nhịp tim nhanh khi nghỉ ngơi, tăng CO2 máu hoặc hạ oxy máu dự đoán thời gian sống thêm giảm",01_copd.txt
